Classement moins de 22 ANS,Vitesse moyenne sur 10 kilomètres
1,19.1
2,19
3,18.9
4,18.9
5,18.7
6,18.4
7,18.3
8,17.9
9,17.8
10,17.7
11,17.6
12,17.2
13,17.1
14,16.9
15,16.9
16,16.8
17,16.6
18,16.5
19,16.4
20,16.2
21,16.1
22,16.1
23,16
24,16
25,15.9
26,15.9
27,15.8
28,15.6
29,15.4
30,15.3
31,15.3
32,15.2
33,15.2
34,15.2
35,15.2
36,15.2
37,15.1
38,15
39,14.9
40,14.8
41,14.7
42,14.7
43,14.6
44,14.5
45,14.5
46,14.4
47,14.4
48,14.4
49,14.4
50,14.1
51,14.1
52,14.1
53,14.1
54,14
55,14
56,14
57,14
58,13.7
59,13.7
60,13.6
61,13.6
62,13.6
63,13.5
64,13.5
65,13.5
66,13.5
67,13.5
68,13.5
69,13.5
70,13.4
71,13.4
72,13.2
73,13.1
74,13.1
75,13
76,13
77,13
78,13
79,12.9
80,12.9
81,12.8
82,12.8
83,12.7
84,12.7
85,12.7
86,12.7
87,12.6
88,12.6
89,12.6
90,12.5
91,12.4
92,12.4
93,12.4
94,12.4
95,12.3
96,12.3
97,12.3
98,12.2
99,12
100,11.9
101,11.9
102,11.8
103,11.8
104,11.8
105,11.8
106,11.8
107,11.7
108,11.6
109,11.5
110,11.4
111,11.3
112,11.3
113,11.3
114,11.3
115,11.2
116,11.2
117,11.2
118,11.1
119,11.1
120,11.1
121,11.1
122,11.1
123,11.1
124,11.1
125,11
126,11
127,11
128,10.9
129,10.9
130,10.9
131,10.9
132,10.8
133,10.8
134,10.8
135,10.8
136,10.7
137,10.7
138,10.6
139,10.6
140,10.5
141,10.4
142,10.4
143,10.3
144,10.1
145,10.1
146,10
147,10
148,9.9
149,9.9
150,9.8
151,9.7
152,9.7
153,9.7
154,9.7
155,9.7
156,9.5
157,9.4
158,9.4
159,9.4
160,9.3
161,9.3
162,9.2
163,9.1
164,8.9
165,8.9
166,8.7
167,8.3
168,8.3
169,8
170,8
171,7.9
